,count,unique,top,freq,mean,std,min,25%,50%,75%,max
student_id,80.0,,,,40.5,23.2379000772445,1.0,20.75,40.5,60.25,80.0
midterm_score,80.0,,,,66.58500000000001,12.347193603139853,39.7,57.75,66.55,76.22500000000001,89.0
final_score,80.0,,,,65.9325,14.423932073318156,31.2,59.875,66.30000000000001,76.0,93.6
performance_score,80.0,,,,70.03125,12.345958122479816,40.3,61.6,70.65,77.05,100.0
assignment_count,80.0,,,,3.075,1.9730782991770863,0.0,2.0,3.0,4.25,8.0
participation_level,80,3,중,39,,,,,,,
question_count,80.0,,,,1.3,1.3350200301915542,0.0,0.0,1.0,2.0,7.0
night_study,80.0,,,,0.6,0.49298881801065664,0.0,0.0,1.0,1.0,1.0
absence_count,80.0,,,,1.55,1.8480232340037615,0.0,1.0,1.0,2.0,10.0
behavior_score,80.0,,,,0.9125,4.709789831103354,-10.0,-2.0,1.0,4.25,10.0
participation_level_num,80.0,,,,1.2375,0.6796080404230036,0.0,1.0,1.0,2.0,2.0
achievement_rate,80.0,,,,67.515,10.356397154672877,42.5,60.55,67.94999999999999,74.85,91.5
at_risk,80.0,,,,0.025,0.15710997518871125,0.0,0.0,0.0,0.0,1.0
